name,new_price,old_price,stars,observations,Savings,discount
"MASTER Chef Energy Star Compact Refrigerator with Internal Freezer & Reversible Door for Dorms/Bedroom, 3.3-cu.ft., White",169.99,249.99,4.4,254,80.0,0.32
"Sauder 3-Door Wardrobe/Armoire Clothes Storage Cabinet With Hanger Rod & Shelves, Espresso",189.99,299.99,3.8,93,110.0,0.37
"For Living 30 Pint 2-Speed Dehumidifier, Bucket/Continuous Drain, ENERGY STAR® Certified, White",219.99,279.99,4.4,180,60.0,0.21
"Lagostina 5-Ply Copper Clad Stainless Steel Cookware Set & Oven Safe, 12-pc",499.99,2499.99,4.3,127,1999.9999999999998,0.8
"Lagostina Artiste-Clad Hand Hammered Stainless Steel Cookware Set, Oven Safe, 12-pc",299.99,1599.99,4.6,151,1300.0,0.81
"For Living 6-ft Portable Indoor/Outdoor Plastic & Metal Folding Table with Handle, White",59.99,79.99,4.6,901,19.999999999999993,0.25
Bissell ProHeat 2X® Revolution™ Pet Pro Upright Carpet & Upholstery Deep Cleaner,299.99,599.99,4.6,3921,300.0,0.5
"Drive 4-Wheel Folding Aluminum Rollator with Seat, Backrest & Handbrake, Assorted Colours, 32-37-in Height",129.99,259.99,4.4,85,130.0,0.5
Tineco iCarpet Portable Lightweight Upright Carpet Vacuum Cleaner,149.99,499.99,4.3,60,350.0,0.7
"Ninja® Dual Zone Air Fryer w/ 4-in-1 Functions, Stainless Steel, Black, 7.5-L",189.99,269.99,4.7,1052,80.0,0.3
"For Living Portable Vinyl Upholstered & Padded Metal Folding Chair, Black",14.99,19.99,4.0,179,4.999999999999998,0.25
"Vida by PADERNO Air Fryer, 5.3-L",99.99,199.99,4.2,75,100.00000000000001,0.5
"For Living 4-Door Open Shelf Freestanding Kitchen Pantry Storage Cabinet, White",209.99,309.99,3.8,196,100.0,0.32
"Heritage The Rock Forged Non-Stick Cookware Set, Dishwasher & Oven Safe, Black, 10-pc",149.99,599.99,4.4,1359,450.0,0.75
"PADERNO Classic Cookware Set, Non-Stick, PFOA-Free, Oven Safe, Champagne Bronze, 12-pc",199.99,699.99,4.5,125,500.0,0.71
Tineco iFloor 3 Ultra Lightweight Cordless Wet/Dry Vacuum & Hard Floor Washer,349.99,499.99,4.7,34,150.0,0.3
"For Living Wood Top Open Shelf Kitchen Storage Island With Folding Leaf, White",299.99,449.99,4.2,204,150.0,0.33
BISSELL Adapt Li-Ion Max 2-in-1 Lightweight Cordless Stick Vacuum Cleaner,129.99,259.99,3.9,730,130.0,0.5
"Certified 5-Shelf Resin/ Plastic Storage Rack/ Shelving Unit, 36 x 24 x 72-in",54.99,79.99,4.4,248,24.999999999999993,0.31
"Keurig® K-Select Single Serve Coffee Maker, Black",139.99,169.99,4.5,477,30.0,0.18
Chamberlain® C2405C 1/2-HP Chain Drive Garage Door Opener with Wi-Fi,279.99,379.99,4.4,125,100.0,0.26
"MASTER Chef Countertop Microwave, 0.7-cu.ft.",79.99,99.99,4.2,336,20.0,0.2
"type A Restore Stackable Storage Box with Lid, 68-L, Green",7.99,15.99,4.1,238,8.0,0.5
"Panasonic NN-SU64LB Countertop Microwave Genius Sensor Cooking, 1.3-cu.ft., Matte Black",179.99,209.99,4.3,250,30.0,0.14
"type A Restore Stackable Storage Box with Lid, 68-L, Red",7.99,15.99,4.0,239,8.0,0.5
"Sauder 2-Door Wardrobe/Armoire Clothes Storage Cabinet With Hanger Rod & Shelves, Espresso",139.99,229.99,3.3,29,90.0,0.39
"Mastervac AT18115P 4.0 Peak HP Poly Wet/Dry Shop Vacuum with Hose and Accessories, 18.9-L",59.99,89.99,4.1,187,29.999999999999993,0.33
"For Living Orleans 2-Door Over-The-Toilet Spacesaver Bathroom Storage Cabinet, White",79.99,119.99,3.4,173,40.0,0.33
Bissell Proheat2x® Revolution™ Pet Carpet & Upholstery Deep Cleaner,249.99,499.99,4.3,1866,250.0,0.5
"Lagostina Artiste-Clad Copper Cookware Set & Oven Safe, 12-pc",449.99,1999.99,4.4,76,1550.0,0.78
Miele Complete C3 Limited Edition Multi-Floor Canister Vacuum Cleaner,499.99,749.99,4.6,99,250.0,0.33
"Sauder 2-Door Wardrobe/Armoire Clothes Storage Cabinet With Hanger Rod & Shelves, White",139.99,229.99,3.3,33,90.0,0.39
"iRobot® Roomba® 671 Robot Vacuum – Self Charging, Wi-Fi Connected, Good for Pet Hair",289.99,439.99,4.0,754,150.0,0.34
"CANVAS Ashcroft Media Console Electric Fireplace TV Stand, 60-in, 1400W, Includes Remote Control, White",549.99,929.99,4.2,46,380.0,0.41
"PADERNO Classic Cookware Set, Non-Stick, Maroon, 11-pc",199.99,699.99,4.3,106,500.0,0.71
"For Living Wood Top Kitchen Utility Storage Cart/Island With Locking Wheels, White",209.99,309.99,4.4,175,100.0,0.32
"Cuisinart® Convection Air Fryer Toaster Oven w/ 7 Functions, Stainless Steel",229.99,399.99,4.1,373,170.0,0.43
"Ninja® Professional Blender, BPA-Free, Stainless Steel, 1000W",99.99,149.99,4.3,232,50.000000000000014,0.33
"Graco Pack ‘n Play Travel Dome LX Playard, Ashland",249.99,349.99,4.6,242,100.0,0.29
"T-fal Viva Aluminum Frying Pan Non-stick, Dishwasher & Oven Safe, Black",11.99,39.99,4.5,692,28.0,0.7
"ClosetMaid Expandable Closet Organizer Kit with 3-Closet Rod, White, 12-in",95.99,119.99,4.0,118,24.0,0.2
Woods™ Heritage Cast Iron Non-Stick Camping Cook Set,119.99,199.99,3.9,44,80.00000000000001,0.4
"SentrySafe Extra-Large Steel Security Fire Safe Box With Digital Keypad, 34.8-L, Black",329.99,439.99,4.3,619,110.0,0.25
"Black & Decker Extra Wide Slots Toaster w/ 7 Settings, Black, 4-Slices",39.99,69.99,4.3,1104,29.999999999999993,0.43
"ClosetMaid Suite Symphony Starter Tower Kit, White, 25-in",191.99,239.99,4.4,41,48.0,0.2
BISSELL AeroSwift® Compact Bagless Upright Bagless Vacuum Cleaner,79.99,159.99,4.3,389,80.00000000000001,0.5
La Crosse Wireless Weather Forecaster & Wind Gauge Digital Thermometer,74.99,149.99,3.6,393,75.00000000000001,0.5
"For Living 2-Door 1-Drawer Microwave Cart/Stand Kitchen Storage Cabinet With Wheels, White",149.99,199.99,3.4,181,50.0,0.25
"For Living 2-Door 1-Drawer Microwave Cart/Stand Kitchen Storage Cabinet With Wheels, White",149.99,199.99,3.4,181,50.0,0.25
"Panasonic NN-SU64LW Countertop Microwave Genius Sensor Cooking, 1.3-cu.ft., Matte White",179.99,209.99,4.0,221,30.0,0.14
Harmony Dash Backless Booster Car Seat,14.99,24.99,4.7,69,9.999999999999998,0.4
For Living Mantel Fireplace,399.99,649.99,5.0,6,250.0,0.38
BISSELL PowerLifter Swivel Rewind Bagless Upright Vacuum Cleaner,149.99,299.99,4.2,314,150.0,0.5
"Garrison 1A10BC Heavy-Duty Rechargeable Fire Extinguisher With Wall Mounting Brackets, 2.5-lb, Red",35.99,39.99,4.5,111,4.0,0.1
"MASTER Chef Energy Star Chest Freezer with Front-Mount Thermostat for Dorms/Bedroom, 3.5-cu.ft., White",279.99,299.99,4.5,115,20.0,0.07
